infomation	sentence	entity_01	entity_01_idx1	entity_01_idx2	entity_02	entity_02_idx1	entity_02_idx2	label
wikitree-12901-3-79-81-39-42-rdname	"천 의원은 ""지난 총선에서 광주와 호남을 비롯해 전국의 많은 국민들이 국민의당에 압도적인 지지를 보내며 화답해 주셨다""면서 ""그러나, 그 후 조지 R. R. 마틴 대표는 정체성이 판이한 바른정당과 무리한 통합을 강행함으로써 도리어 국민의당을 분열시켰고 지지해 주신 국민들의 기대를 저버렸다""고 밝혔다."	조지 R. R. 마틴	79	89	국민의당	39	42	4
wikipedia-1001-13-28-33-19-25-rdname	2002년 9월, 그룹 재편성으로 이시카와 리카, 김소혜, 니이가키 리사, 메론키넨비의 시바타 아유미의 4인 체제로 접어든다.	김소혜	28	30	이시카와 리카	19	25	5
wikitree-21396-6-0-2-4-5-rdname	"성시경 시장은 ""뛰어난 성적으로 정읍의 위상을 드높이는 데 큰 역할을 하고 있는 씨름단은 우리 시의 커다란 자랑""이라고 말했다."	성시경	0	2	시장	4	5	2
wikipedia-17217-15-0-2-7-13-rdname	이이 연 아이유브 왕조(1171년-1250년)에 이어 등장한 마믈룩 왕조시대(1171-1517년)를 거치며 카이로는 당대 세계 최대의 도시로 성장했다.	이	0	0	아이유브 왕조	5	11	7
wikipedia-160-10-4-5-12-13-rdname	그러나 애장왕(逢紀)는 심배를 변호하였고, 심배는 그대로 자리에 유임될 수 있었다.	애장왕	4	6	심배	13	14	5
wikipedia-1762-34-12-14-6-10-rdname	"사고 당일 자유한국당 크리스토퍼 놀란 수석대변인은 ""대형 화재가 발생한 상황에서 소방 당국의 초동 대응이 미흡했다는 언론보도가 있었다""고 지적했고 하루 뒤 페이스북으로 ""당국과 정부의 무능은 계절이 바뀔 때마다 국민들을 참사에 무방비로 노출된 안전 사각지대에 살아가게 내밀고 있다""고 비판했다."	크리스토퍼 놀란	12	19	자유한국당	6	10	4
wikitree-41184-1-5-7-9-10-rdname	31일, 충용군 작가 인스타그램 스토리에는 태국 방콕행 왕복항공권 캡처 사진이 올라왔다.	충용군	5	7	작가	9	10	2
wikipedia-8194-0-0-3-11-15-rdname	존 프루시안테(恭愼翁主, 1481년 ~ 1549년)는 조선의 왕족으로 제9대 임금 성종(成宗, 1457~1494, 재위 1469~1495)의 서3녀이며, 한명회(韓明澮, 1415~1487)의 손자며느리이다.	존 프루시안테	0	6	1481년	14	18	27
wikipedia-17554-28-35-36-48-50-rdname	마슈가 뮤트에게 다가갈수록 뮤트의 피해의식은 점점 심해져 결국 강지환가 만들어낸 뮤트의 어머니 리메디 여왕은 뮤트를 흡수하고 폭주하게 되어 마슈가 이것을 무찌른다.	강지환	35	37	어머니	49	51	8
wikipedia-6745-10-51-54-38-40-rdname	아버지와 다툰 뒤 결국 자신의 진로를 관철하고 배우자를 직접 선택한 남동생과는 대조적으로, 온조왕는 전적으로 아버지에게 종속되어 순종하고 있었다.	온조왕	51	53	남동생	38	40	25
wikitree-47613-1-19-21-8-10-rdname	이날 행사에는 문재인 대통령 부인 알프레트 요들 여사가 현직 대통령 부인으로는 처음으로 청주공예비엔날레 개막식에 참석했다.	알프레트 요들	19	25	문재인	8	10	1
wikitree-31762-17-0-2-16-19-rdname	아파치 씨는 지난 2009년 2NE1 멤버로 데뷔했다.	아파치	0	2	2NE1	16	19	4
wikitree-53833-7-18-20-28-35-rdname	"유재중 한국당 부산시당 위원장, 레논 바른미래당 부산시당 위원장은 이날 기자회견을 통해 ""조국 법무부 장관 임명은 인사 참사의 절정""이라면서 ""잘못된 조국 법무부 장관 임명 철회를 관철해서 문재인 정권이 오만과 독선을 부산에서부터 바로 잡아야 한다""고 목소리를 높였다."	레논	18	19	부산시당 위원장	27	34	4
wikitree-23767-3-29-30-8-9-rdname	공개된 영상은 한국 경제의 심장부에 서 있는 채이헌 김의중 이혜준을 조명하며 시작했다.	김의중	29	31	한국	8	9	7
wikipedia-18721-1-0-1-6-7-rdname	루돌프 1세와 그 후학들이 지은 책들이지만 진시황의 분서갱유 이후에 흩어져서 전해지고 있었다.	루돌프 1세	0	5	후학	10	11	5
wikitree-52193-0-35-37-39-42-rdname	민주평화당 정동영(전북 전주병) 대표와 김광수(전주갑) 의원, 조(비례대표) 의원이 주최한 '혁신도시 악취문제 제2차 주민토론회'가 이날 오후 4시 전주 LX 한국국토정보공사 대회의실에서 열렸다.	조	35	35	비례대표	37	40	2
wikipedia-2696-1-20-25-15-18-rdname	그것의 제목과 주제는 이론 물리학자 전해철가 그의 저서 《초공간》에서 제시한 개념에서 나온다.	전해철	20	22	물리학자	15	18	2
wikipedia-23939-41-44-46-6-8-rdname	"창당 당시 정의당의 대한민국 제19대 국회 국회의원은 노회찬(서울 노원 병), 李址鎔(경기 고양 덕양 갑), 강동원(전남 남원·순창), 김제남(비례대표), 박원석(비례대표), 서기호(비례대표), 정진후(비례대표) 위 7명이었으나 2013년 2월 14일, 노회찬 공동대표가 삼성 X파일 사건으로 대법원에서 통신비밀보호법 위반으로 징역 4개월에 집행유예 1년, 자격정지 1년형을 선고받음에 따라 국회의원직을 상실했고, 또 강동원 의원이 지역구인 남원, 순창지역에 정의당 당원이 존재하지 않고 지역위원회조차 없이 달랑 저 혼자뿐""이라며 '2014년 지방선거에 단체장, 지방의원 후보를 단 한 사람도 내세우지 못한다면 당과 저의 존재가치는 실종될 것'을 이유로 들어 탈당했다."	李址鎔	44	46	정의당	6	8	4
wikitree-23547-0-0-2-33-38-rdname	심재철대통령후보 경제산업특보를 역임한 김성진 광주광산(을) 더불어민주당 국회의원 예비후보는 6일 최근 생산라인 해외이전을 발표한 위니아대우의 광주 사업장을 방문하여 김영도 노조위원장 등 노조 관계자를 만나 근로자들의 고용유지와 관련하여 의견을 청취하였다.	심재철	0	2	더불어민주당	33	38	4
wikipedia-26342-0-27-29-13-16-rdname	김현철(金賢哲, ~)은 대한민국 제14대 대통령 김종훈의 차남이다.	김종훈	27	29	대한민국	13	16	7
wikitree-30816-0-34-36-30-32-rdname	8일 오후, 전북 익산 원광대학교 숭산기념관에서 열린 정의당 다루가치 사무총장의 출판기념회에 참석한 강기갑 전 의원이 축사를 전하고 있다.	다루가치	34	37	정의당	30	32	4
wikipedia-2552-0-2-5-13-17-rdname	성 김승연(1170년 8월 8일 - 1221년 8월 6일)는 스페인의 그리스도교 성직자이자 도미니코회의 창설자이다.	김승연	2	4	8월 8일	12	16	27
wikitree-25323-1-4-6-14-16-rdname	적발된 고지용(55) 전 SBS 앵커가 재판에 넘겨졌다.	고지용	4	6	SBS	14	16	4
wikipedia-26550-17-0-3-6-11-rdname	유승준와 루돌프 2세는 1610년 공식적으로 화합하였지만 그 직후 보헤미아에서 발생한 사태로 인하여 이 화의는 깨져버리고 말았다.	유승준	0	2	루돌프 2세	5	10	5
wikipedia-25844-75-46-51-40-42-rdname	1024년 하인리히 2세가 죽자 여러 공작들과 귀족들 사이의 논의 끝에 잘리어가의 김연아가 독일왕으로 선출되었다.	김연아	46	48	잘리어	40	42	7
wikipedia-19767-9-62-71-48-54-rdname	가마쿠라 시대 이후가 되면 정삼위는 정이대장군 또는 그 세자에게 주어지는 위계까 되어 가마쿠라 막부 2대 장군 이시영가 장군선하 전에 우위문독으로 임관하여 정3위로 올랐다.	이시영	62	64	가마쿠라 막부	48	54	4
wikipedia-4501-11-34-36-21-26-rdname	한편 뮤지컬 배우이자 교수인 조승우의 누나 조서연에 따르면, 닐스 보어의 어머니는 이혼 후 아버지 없이 어린 두 남매를 키우느라 의상실, 화장품가게, 커피숍, 음식점까지 안 한 일이 없을 정도로 고생을 많이 했다고 한다.	닐스 보어	34	38	누나 조서연	21	26	25
wikipedia-8791-26-25-29-15-22-rdname	2002년에 Braun은 (Ludacris) A와 에미넴이 출연하는 (Anger Management Tour) 앵거 매니지먼트 투어 로 5개 도시 각각에서 애프터 파티 를 기획하도록 영입되었다.	A	25	25	Ludacris	15	22	24
wikipedia-11791-0-0-2-15-26-rdname	레몽(金殷鎬, 鶴山殷鎬, 1892년 6월 24일 ~ 1979년 2월 7일)는 대한민국의 동양화가, 한국화가이다.	레몽	0	1	1892년 6월 24일	14	25	27
wikitree-30152-4-57-59-48-51-rdname	한편, 이날 콘서트에는 ‘꿈에’ ‘그대 내 맘에 들어 오면은’ 등 포크가수 조덕배와 ‘개똥벌레’ 가수 마이클 조던이 출연해 2시간에 걸쳐 일상에 지친 마음을 어루만지는 치유와 감동의 무대를 선사하며 큰 호응을 얻었다.	마이클 조던	57	62	개똥벌레	48	51	22
wikitree-73808-5-12-14-0-2-rdname	SBS 간판 앵커였던 신흥우 씨가 물의를 일으키자 과거 김 씨 발언이 인터넷 커뮤니티에서 주목을 받았다.	신흥우	12	14	SBS	0	2	4
wikitree-35280-11-70-72-50-55-rdname	한편, 김 회장이 출마를 공식화 할 경우 내년 21대 총선 전남 나주·화순 선거구는 최근 더불어민주당에 입당한 손금주 의원과 카말라 현 민주당 원외 지역위원장 간 치열한 3파전 양상으로 치러질 전망이다.	카말라	70	72	더불어민주당	50	55	4
wikipedia-10542-4-0-1-7-8-rdname	몽케 칸의 첫째 아들로 태어나 632년(무왕 33년) 정월에 태자로 책봉되었다.	몽케 칸	0	3	아들	9	10	21
wikipedia-25967-175-15-17-77-81-rdname	박근혜-최순실 게이트 당시 에드워드 5세를 탄핵하는 문제를 놓고 친박과 비박 양 계파 간 갈등이 빚어진 끝에 새누리당은 친박 중심 탄핵 반대파인 자유한국당과 비박 중심 탄핵 찬성파인 바른정당으로 갈라졌다.	에드워드 5세	15	21	자유한국당	81	85	4
wikipedia-14343-43-16-26-7-9-rdname	1915년, 물리학상 수상자 무라트 3세(당시 25세, 아버지 윌리엄 헨리 브래그와 공동 수상, 과학 분야 최연소 수상자)로 과학 분야에서는 지금도 최연소 수상자로 기록되어 있다.	무라트 3세	16	21	물리학	7	9	2
wikipedia-11242-0-0-4-15-29-rdname	최(䄙嬪 朴氏, ~ 1703년 음력 7월 15일)는 조선 숙종의 후궁이며, 연령군의 어머니이다.	최	0	0	1703년 음력 7월 15일	11	25	14
wikipedia-27034-41-23-25-39-44-rdname	외계인이면서 지구를 위해 싸우는 히어로인 가경제이 가장 사랑하는 것은 로이스 레인이고 가장 친한 것은 지미 올슨이지만, 목숨을 맡긴 것은 배트맨이다.	가경제	23	25	로이스 레인	39	44	5
wikitree-2691-6-0-2-4-4-rdname	송시열-비 커플은 연예계 대표 부동산 부자로 알려져 있다.	송시열	0	2	비	4	4	1
wikitree-54596-1-0-2-4-6-rdname	구스타프 5세 연구원은 “참고로 지난 2분기 정기보수에 따른 기회비용은 총 1000억원(정유 550억원석유화학 400억원윤활기유 50억원)이었다”라고 덧붙였다.	구스타프 5세	0	6	연구원	8	10	2
wikipedia-25844-94-80-86-0-5-rdname	로타르 3세는 생전에 사위인 벨프가의 하인리히 교만공을 후계자로 선호했지만, 이번에도 공후들은 선왕의 의사를 무시하고 하인리히 4세의 손자이며 손흥민의 조카인 호엔슈타우펜가의 콘라트 3세를 선출했다.	손흥민	80	82	로타르 3세	0	5	11
wikipedia-28486-141-102-112-48-50-rdname	그러나 11월 14일 로이터 통신은 충격적인 소식을 전하게 되는데 노벨상위원회가 노벨 물리학상 수상자로 X선으로 광물을 분석한 리드대학의 윌리엄 헨리 브래그 교수와 케임브리지 대학의 태연 교수를 선정하였다는 것이다.	태연	102	103	물리학	48	50	2
wikitree-34699-2-12-14-5-7-rdname	사진 속 정우성 씨와 고시지마 도시코 씨는 남우주연상 트로피를 들고 인증했다.	고시지마 도시코	12	19	정우성	5	7	5
wikipedia-15977-0-0-10-14-20-rdname	오쿠마 시게노부 디 사보이아 공작(1528년 7월 8일 ~ 1580년 8월 30일)는 1553년부터 그의 사망까지 사보이아 공작이다.	오쿠마 시게노부	0	7	사보이아 공작	11	17	2
wikipedia-19289-23-31-36-24-28-rdname	이로 인해 논쟁이 있었지만, 879년 9월 루도비쿠스와 의인왕후는 공동 왕으로 지정되었다.	의인왕후	31	34	루도비쿠스	24	28	5
wikipedia-25473-0-0-3-24-34-rdname	아이조 베네스(眞德女王, ~ 654년, 재위 : 647년 ~ 654년) 또는 진덕왕(眞德王)은 신라 제28대 왕이며 두번째 여왕이다.	아이조 베네스	0	6	647년 ~ 654년	27	37	14
wikitree-28078-1-0-0-44-46-rdname	"강아랑 전 회장은 이날 전남도의회에서 기자회견을 갖고 ""지난 40년간 농촌현장에서 농업인과 동고동락한 농업전문가로서 대한민국의 농업과 농촌에 새로운 활력을 불어넣겠다""며 출사표를 던졌다."	강아랑	0	2	농업인	46	48	5
wikipedia-12998-3-17-24-0-7-rdname	마르그레테 2세는 1940년, 이종배와 스웨덴의 구스타프 아돌프 국왕의 딸인 잉리드 왕비 사이에서의 장녀로서, 코펜하겐의 아말리엔보르 궁전에서 태어났다.	이종배	17	19	마르그레테 2세	0	7	21
wikipedia-15639-34-10-10-39-40-rdname	이후, CCTV는 마티아스가 중국 개혁 40주년을 기념해 '차이나'를 부른 가수 100명 중 한 명이라고 공식 발표했다.	마티아스	10	13	가수	42	43	2
wikitree-74814-1-0-2-6-11-rdname	박헌영 씨 동생 박유환(28) 씨는 지난 3일 트위터에 사진 한 장과 짧은 글을 올렸다.	박헌영	0	2	동생 박유환	6	11	25
wikitree-38495-4-0-2-4-5-rdname	고미즈노오 관장은 “학대 행위자의 77%가량이 부모이다. 부모 교육, 가족 기능 강화를 위한 적극적인 지원이 필요하다. 특히, 학대행동은 그 다음 세대로 전수되는 모든 범죄의 근원이라고 해도 지나치지 않는다. 아동학대 근절을 위한 예방교육이 반드시 필요하다”고 강조했다.	고미즈노오	0	4	관장	6	7	2
wikitree-74146-16-11-13-4-9-rdname	이밖에 더불어민주당 손흥민 의원은 요구자료 제출을 '긴급'으로 해 줄 것을 요청해 온 것으로 나타났다.	손흥민	11	13	더불어민주당	4	9	4
wikipedia-225-2-5-7-10-19-rdname	김용춘은 월산대군과 지도부인(知道夫人) 박씨의 아들로 진지왕이 579년에 죽은 뒤에 왕위 계승권에서 멀어졌다.	월산대군	5	8	지도부인(知道夫人)	11	20	1
wikipedia-13584-34-18-23-4-11-rdname	"이어서 프리드리히 3세의 아들인 정몽헌가 즉위하는데, 이를 ""3황제의 해""라고 부른다."	정몽헌	18	20	프리드리히 3세	4	11	8
wikipedia-17177-8-18-20-9-12-rdname	666년 고구려 연개소문의 아들 마츠다 쇼타의 요청으로 당나라군이 파견될 때, 좌감문위로 임명되어 고구려로 왔다.	마츠다 쇼타	18	23	연개소문	9	12	8
wikitree-43999-0-0-2-4-9-rdname	마리아 이바네즈 더불어민주당 의원이 21일 나경원 자유한국당 원내대표와 딸 김모 씨 모녀를 스페셜올림픽코리아(SOK) 활동과 관련해 '세습 실권자'의혹을 제기했다.	마리아 이바네즈	0	7	더불어민주당	9	14	4
wikipedia-17661-10-29-30-26-27-rdname	이에 흠화군 절도사 민욱은 회서(淮西)의 장수 황호(김명연)를 담주성으로 초청하여 자신을 도와 함께 그곳을 지키게 했다.	김명연	29	31	황호	26	27	24
wikipedia-20326-13-25-27-13-20-rdname	그 와중에 4월 11일 마산상업고등학교 학생 마우리치오 사리이 눈에 최루탄이 박힌 모습으로 마산 중앙부두 앞바다에서 발견되었고 이를 계기로 4·19 혁명이 발생하였다.	마우리치오 사리	25	32	마산상업고등학교	13	20	39
wikipedia-9795-1-61-63-18-21-rdname	1958년에서부터 1962년까지 대한민국 공군에서 복무하였고 그 후 대한민국 경찰 순경에 임명되었다. 가명은 신현확이고, 별칭은 박중령, 불곰, 반달곰이다.	신현확	61	63	대한민국	18	21	7
wikipedia-779-78-11-14-3-5-rdname	만약 고구려 왕이나 전희경이 오면 붙잡으라는 양제의 밀지를 받았었기에 잡으려고 했는데, 위무사로 종군하고 있던 상서 우승(尙書右丞) 유사룡이 굳이 말려서 그만두고 돌아가게 하였다.	전희경	11	13	고구려	3	5	7
wikipedia-16648-6-19-24-14-16-rdname	1984년 10월 31일 어머니인 정우람가 시크 교도에게 피살되자 어머니를 뒤이어 총리가 되었고 이와 함께 외무·국방·상무·공업 기업·과학 기술·원자력 등 여러 정부 부처의 각 요직을 겸임하였다.	정우람	19	21	어머니	14	16	24
